0c8d08cbaa0636ef93cbcb01c43a34f002bb7fdb ff67386ce3ab12e6c56ac3fa8b30543a320c604b dolphinscheduler-alert EmailAlertPluginTest.java(process) 1 17 -1 0.05882353 -0.05882353 NaN NaN NaN NaN 
4d553603ee95d166811fc45edadd736aa1853af3 cf41fb77742af589a06acf3ed27550f85db6128d dolphinscheduler-server ShellTaskTest.java(testShellTask) 1 9 1 0.11111111 0.11111111 0.3750273918569488 0.3347193347193347 0.3750273918569488 0.3347193347193347 
4d553603ee95d166811fc45edadd736aa1853af3 cf41fb77742af589a06acf3ed27550f85db6128d dolphinscheduler-server ShellTaskTest.java(testInitForUnix) 1 10 1 0.1 0.1 0.3750273918569488 0.3347193347193347 0.3750273918569488 0.3347193347193347 
4d553603ee95d166811fc45edadd736aa1853af3 cf41fb77742af589a06acf3ed27550f85db6128d dolphinscheduler-server ShellTaskTest.java(testHandleForUnix) 1 24 2 0.041666668 0.083333336 0.3750273918569488 0.3347193347193347 0.3750273918569488 0.3347193347193347 
4d553603ee95d166811fc45edadd736aa1853af3 cf41fb77742af589a06acf3ed27550f85db6128d dolphinscheduler-server ShellTaskTest.java(testHandleForWindows) 1 23 2 0.04347826 0.08695652 0.3750273918569488 0.3347193347193347 0.3750273918569488 0.3347193347193347 
4d553603ee95d166811fc45edadd736aa1853af3 cf41fb77742af589a06acf3ed27550f85db6128d dolphinscheduler-server ShellTaskTest.java(testCancelApplication) 1 9 1 0.11111111 0.11111111 0.3750273918569488 0.3347193347193347 0.3750273918569488 0.3347193347193347 
6caac0f36623cee4fa1cb2edfc35c7db87b08aa9 500d481e726765fa5dbc18a3d76fc7f0ed97a696 dolphinscheduler-server MasterCommandTest.java(testDagHelper) 0 15 1 0.0 0.06666667 0.3750273918569488 0.3347193347193347 0.3750273918569488 0.3347193347193347 
7c9da3eddde6c146937a713339d5196e08e06b86 f2d7f2fba080b98e0bfdf1ad6dac168169bd4263 escheduler-dao UserMapperTest.java(test) 0 5 1 0.0 0.2 0.4607459754666148 0.3750827554967072 0.4607459754666148 0.3750827554967072 
ab6e4310b42ba6772b71334bc5360e470e933d7c 24134f9271af8e01fcd2667450a15a40faf02a3f dolphinscheduler-service ZKServerTest.java(start) 0 3 1 0.0 0.33333334 0.35961306587745256 (0.22927072927072922) 0.35961306587745256 0.22977022977022976 
ad2d9f99d01f3baef8641e0a7e741c08a39f1f24 c7005b49448b9f455cd50062b20963226b9cc32f dolphinscheduler-server MasterCommandTest.java(testDagHelper) 0 15 1 0.0 0.06666667 0.3750273918569488 0.3347193347193347 0.3750273918569488 0.3347193347193347 
ad2d9f99d01f3baef8641e0a7e741c08a39f1f24 c7005b49448b9f455cd50062b20963226b9cc32f dolphinscheduler-server TaskCallbackServiceTest.java(testSendAckWithIllegalArgumentException) 0 6 1 0.0 0.16666667 0.3750273918569488 0.3347193347193347 0.3750273918569488 0.3347193347193347 
ca66cfec171be8cd7a7359e47350580943222c42 a563c82c6d8d5247f8cc6cc9184f37118c7a4371 dolphinscheduler-api ProcessDefinitionControllerTest.java(testVerifyProccessDefinitionName) 2 14 1 0.14285715 0.071428575 0.3752052545155994 0.29670329670329665 0.3752052545155994 0.29670329670329665 
ca66cfec171be8cd7a7359e47350580943222c42 a563c82c6d8d5247f8cc6cc9184f37118c7a4371 dolphinscheduler-api ProcessDefinitionControllerTest.java(testQueryProcessDefinitionListPaging) 1 17 1 0.05882353 0.05882353 0.3752052545155994 0.29670329670329665 0.3752052545155994 0.29670329670329665 
ca66cfec171be8cd7a7359e47350580943222c42 a563c82c6d8d5247f8cc6cc9184f37118c7a4371 dolphinscheduler-api ProcessDefinitionControllerTest.java(testViewTree) 1 15 1 0.06666667 0.06666667 0.3752052545155994 0.29670329670329665 0.3752052545155994 0.29670329670329665 
ca66cfec171be8cd7a7359e47350580943222c42 a563c82c6d8d5247f8cc6cc9184f37118c7a4371 dolphinscheduler-api ProcessDefinitionControllerTest.java(testExportProcessDefinitionById) 1 12 1 0.083333336 0.083333336 0.3752052545155994 0.29670329670329665 0.3752052545155994 0.29670329670329665 
ca66cfec171be8cd7a7359e47350580943222c42 a563c82c6d8d5247f8cc6cc9184f37118c7a4371 dolphinscheduler-api ProcessDefinitionControllerTest.java(testQueryProccessDefinitionAllByProjectId) 1 14 1 0.071428575 0.071428575 0.3752052545155994 0.29670329670329665 0.3752052545155994 0.29670329670329665 
ca66cfec171be8cd7a7359e47350580943222c42 a563c82c6d8d5247f8cc6cc9184f37118c7a4371 dolphinscheduler-api ProcessDefinitionControllerTest.java(testDeleteProcessDefinitionById) 1 14 1 0.071428575 0.071428575 0.3752052545155994 0.29670329670329665 0.3752052545155994 0.29670329670329665 
ca66cfec171be8cd7a7359e47350580943222c42 a563c82c6d8d5247f8cc6cc9184f37118c7a4371 dolphinscheduler-api ProcessDefinitionControllerTest.java(testBatchDeleteProcessDefinitionByIds) 1 14 1 0.071428575 0.071428575 0.3752052545155994 0.29670329670329665 0.3752052545155994 0.29670329670329665 
eec92ed1fc1a35e22b8e38ac40681a1dd803399b a358b58ef8ce3d1feec5cd898cf9d3cb22932552 dolphinscheduler-common HadoopUtilsTest.java(getHdfsResourceFileNameTest) 0 4 1 0.0 0.25 0.3055534904468069 0.1827133479212254 0.3055534904468069 0.1827133479212254 
eec92ed1fc1a35e22b8e38ac40681a1dd803399b a358b58ef8ce3d1feec5cd898cf9d3cb22932552 dolphinscheduler-common HadoopUtilsTest.java(getHdfsUdfFileNameTest) 0 4 1 0.0 0.25 0.3055534904468069 0.1827133479212254 0.3055534904468069 0.1827133479212254 
fcd4556f26da3076fa15c6b2734bf06dc3dfbf5b 15246d41ed3c349f6eedc40f6abe8a69874be3b9 escheduler-dao UserMapperTest.java(testDelete) 1 5 1 0.2 0.2 0.4607459754666148 0.3750827554967072 0.4607459754666148 0.3750827554967072 
