deeplearning4j 6,0.020596889449348465 | 5,0.036990332072299285 | 4,0.05632618747372846 | 3,0.07650273224043716 | 2,0.10970996216897856 | 
jetty 6,0.0030994937493542722 | 5,0.0067500086097048596 | 4,0.010744911664428144 | 3,0.06879154182594621 | 2,0.1081723318524641 | 
hadoop 6,0.011777105673173862 | 5,0.018284300247456694 | 4,0.027449363028136744 | 3,0.05196590596645587 | 2,0.12322426908624325 | 
flink 6,0.007822588656004768 | 5,0.01321148306347472 | 4,0.023467765968014306 | 3,0.042068143438958976 | 2,0.0864706466673289 | 
kafka 7,0.001085894233901618 | 5,0.0029319144315343684 | 4,0.006949723096970355 | 3,0.020849169290911067 | 2,0.057009447279834945 | 
tomcat 6,0.0040683482506102524 | 7,0.0052074857607811225 | 4,0.010903173311635476 | 3,0.012205044751830757 | 2,0.07567127746135069 | 
hive 6,0.009697661152310326 | 5,0.021296824491348166 | 4,0.039741395702605056 | 3,0.057235215820498196 | 2,0.09165240540026622 | 
shiro 3,0.045454545454545456 | 2,0.16233766233766234 | 
hbase 6,0.023723437995559784 | 5,0.02889311766571519 | 4,0.05870599429115128 | 3,0.07982873453853473 | 2,0.14709800190294958 | 
jmeter 6,0.0017678255745433118 | 5,0.005303476723629935 | 4,0.0058927519151443725 | 3,0.01708898055391868 | 2,0.03182086034177961 | 
